date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:41	63751/63751	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2010:45:19%20GMT	https://html.kodesolution.com/2025/digitaal-html/index-4.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/index-4.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:41	69440/69440	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2010:45:19%20GMT	https://html.kodesolution.com/2025/digitaal-html/index-5.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/index-5.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:42	64327/64327	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2010:45:19%20GMT	https://html.kodesolution.com/2025/digitaal-html/index-6.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/index-6.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:43	42295/42295	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2010:45:19%20GMT	https://html.kodesolution.com/2025/digitaal-html/index-7.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/index-7.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:45	38870/38870	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-about.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-about.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:46	18349/18349	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-pricing.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-pricing.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:46	26609/26609	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-testimonial.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-testimonial.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:47	20393/20393	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-faq.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-faq.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:48	22899/22899	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-team.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-team.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:49	22135/22135	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-team-details.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-team-details.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:50	22237/22237	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/shop-products.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/shop-products.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:50	26237/26237	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/shop-products-sidebar.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/shop-products-sidebar.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:51	29589/29589	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/shop-product-details.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/shop-product-details.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:53	19987/19987	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/shop-cart.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/shop-cart.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:53	22344/22344	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/shop-checkout.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/shop-checkout.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:54	19886/19886	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/news-grid.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/news-grid.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:55	23807/23807	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/news-details.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/news-details.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:56	3336/3336	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2008:05:50%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-404.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-404.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:56	21563/21563	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-services.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-services.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:57	21956/21956	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-service-details.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-service-details.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:58	21565/21565	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-project.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-project.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:58	19579/19579	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-project-details.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-project-details.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:59	19064/19064	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2010:31:27%20GMT	https://html.kodesolution.com/2025/digitaal-html/page-contact.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/page-contact.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:59	265/265	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-line-icon.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-line-icon.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:59	18625/18625	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style1.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style1.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:59	39579/39579	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style4.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style4.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:00	631/631	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style3.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style3.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:00	20300/20300	---M--	200	added ('OK')	image/png	date:Mon,%2026%20May%202025%2010:17:52%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style2.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style2.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:01	885818/885818	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style43.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style43.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:01	4327/4327	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/customer1.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/customer1.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:01	6200/6200	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon29.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon29.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:02	72844/72844	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon30.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon30.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:02	187/187	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/sub-title-shape.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/sub-title-shape.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:03	9798/9798	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/user.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/user.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:05	340342/340342	---M--	200	added ('OK')	image/png	date:Mon,%2026%20May%202025%2010:17:52%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style15.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style15.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:05	21304/21304	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/service1-1.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/service1-1.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:05	31122/31122	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/title-image.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/title-image.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:05	435/435	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon1.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon1.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:05	903348/903348	---M--	200	added ('OK')	image/png	date:Thu,%2022%20May%202025%2006:41:09%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style64.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style64.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:06	19499/19499	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/service1-2.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/service1-2.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:06	401/401	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon2.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon2.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:06	20553/20553	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/service1-3.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/service1-3.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:06	408/408	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon3.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon3.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:07	4397/4397	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/wa-sketch.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/wa-sketch.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:07	5978890/5978890	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/banner/banner1-1.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/banner/banner1-1.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:07	1654/1654	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/wa-photoshop.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/wa-photoshop.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:07	1542/1542	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/wa-figma.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/wa-figma.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:07	168889/168889	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/dotted-map-4.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/dotted-map-4.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:07	2127/2127	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/wa-invision.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/wa-invision.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:07	1770/1770	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/wa-xd.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/wa-xd.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:08	1315/1315	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/wa-Illustration.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/wa-Illustration.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:08	60072/60072	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style20.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style20.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:09	174268/174268	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/project1-2.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/project1-2.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:09	184515/184515	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/project1-1.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/project1-1.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:09	157288/157288	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style21.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style21.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:09	288715/288715	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/project1-3.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/project1-3.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:09	301/301	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon4.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon4.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:10	59931/59931	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style22.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style22.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:10	1044846/1044846	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/background/bg-video4.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/background/bg-video4.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:10	1995/1995	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon32.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon32.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:10	24877/24877	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/award2-3.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/award2-3.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:10	55114/55114	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2009:01:16%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style50.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style50.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:11	564159/564159	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/project1-4.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/project1-4.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:11	735/735	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style6.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style6.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:11	246475/246475	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2009:01:16%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style51.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style51.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:11	4734/4734	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/resource/testi1-1.jpg	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/resource/testi1-1.jpg	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:11	90711/90711	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2009:01:16%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/shape-style52.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/shape-style52.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:44:11	358/358	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon5.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/theme-icon5.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
